食品名,カテゴリ,値段(税抜),重量,エネルギー,たんぱく質,脂質,炭水化物,糖質,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビタミンC,食物繊維,食塩相当量
えんばく・オートミール,穀類,20,20,76,2.7,1.1,13.8,11.9,1,52,9,20,74,0.8,0.4,0.06,0,0,0.1,0,0.04,0.02,0.2,0.02,0,6,0.26,0,1.9,0
プロセスチーズ,乳類,25,50,78,6.6,5.2,0.2,0.2,80,70,26,6,85,0.8,0.6,0.02,90,2.3,2.5,6,0.04,0.18,0.1,0.05,0.6,24,0.49,0,0,0.2
ヨーグルト・低脂肪無糖,乳類,20,40,5,0.6,0,0.9,0.3,1,10,4,3,10,0.1,0.1,0.02,0,0,0,1,0.01,0.02,0.1,0.01,0,13,0.06,1,0.6,0
もずく・塩蔵－塩抜き,藻類,40,20,68,4.5,5.2,0.3,0.3,220,12,126,4,146,0.1,0.6,0.02,52,0,0.2,0,0.01,0.08,0,0,0.6,5,0.03,0,0,0.6
鶏卵・全卵－ゆで,卵類,13,200,90,7.4,2,10.4,10.4,96,360,260,26,200,0,1,0.02,0,0,0,0,0.08,0.38,0.2,0.08,0.2,30,0.82,4,0,0.2
はくさい・キムチ,野菜類,15,50,2,0.1,0.1,0.7,0,45,1,11,6,1,0.4,0.2,0.01,8,0,0.1,7,0,0.01,0,0,0.1,1,0,0,0.7,0.1
キャベツ・結球葉－生,野菜類,20,20,9,0.6,0.1,1.6,1,174,68,10,3,11,0.1,0.1,0.01,4,0,0.1,13,0.01,0.03,0.2,0.04,0,9,0.09,5,0.5,0.4
もやし・りょくとうもやし－ゆで,野菜類,30,50,12,0.7,0.1,2.6,1.7,3,100,22,7,14,0.2,0.1,0.01,2,0,0.1,39,0.02,0.02,0.1,0.06,0,39,0.11,21,0.9,0
豆乳・豆乳,豆類,30,50,134,8.9,10.9,0.1,0.1,170,115,2,13,80,0.3,0.2,0.02,4,1,1.4,22,0.01,0.02,4.4,0.13,0.6,2,0.05,0,0,0.5
ぶた・大型種・ばら・脂身つき－焼き,肉類,60,200,92,7.2,4,6.2,5.8,4,380,30,50,98,2.4,0.6,0.24,0,0,0.2,8,0.06,0.04,1,0.12,0,56,0.56,0,0.4,0
にわとり・若鶏・むね、皮なし-焼き,肉類,25,50,98,19.4,1.7,0.1,0.1,37,285,4,24,170,0.3,0.6,0.02,7,0.1,0.3,15,0.07,0.09,9.2,0.33,0.2,9,1.29,2,0,0.1
まぐろ・缶詰－油漬、フレーク・ライト,魚介類,100,6,17,0.9,0,3.4,3.4,2,216,8,25,21,0.2,0,0,0,0,0,0,0,0.01,2.8,0,0,0,0,0,0,0
まぐろ・缶詰－水煮、フレーク・ライト,魚介類,100,60,43,9.6,0.4,0.1,0.1,126,138,3,16,96,0.4,0.4,0.03,6,1.8,0.2,0,0.01,0.02,5.7,0.16,0.7,2,0.08,0,0,0.3
コーヒー・インスタント,し好飲料類,10,50,248,9.8,22,0.1,0.1,28,135,2,9,70,0.4,1.1,0.03,6,0.3,0.3,4,0.29,0.07,3.3,0.14,0.4,1,0.34,0,0,0.1
えのきたけ－ゆで,きのこ類,100,73,16,2,0.1,5.7,2.4,1,197,0,8,80,0.7,0.4,0.04,0,0.6,0,0,0.14,0.09,2.7,0.07,0,22,0.7,0,3.3,0
中華・即席カップめん-油揚げ、焼きそば,穀類,100,120,523,10.1,22.7,69.7,66.8,1800,228,228,34,89,1.3,0.5,0.16,8,0,2.6,17,0.67,0.86,1,0.05,0,16,0.48,1,2.9,4.6
マカロニ・スパゲッティ－乾,穀類,10,40,151,5.2,0.7,29.2,27.1,0,80,7,22,52,0.6,0.6,0.11,0,0,0.1,0,0.08,0.02,0.9,0.04,0,5,0.26,0,2.2,0
木綿豆腐,豆類,20,100,80,7,4.9,1.5,0.4,9,110,93,57,88,1.5,0.6,0.16,0,0,0.2,6,0.09,0.04,0.2,0.05,0,12,0.02,0,1.1,0
絹ごし豆腐,豆類,20,100,62,5.3,3.5,2,1.1,11,150,75,50,68,1.2,0.5,0.16,0,0,0.1,9,0.11,0.04,0.2,0.06,0,12,0.09,0,0.9,0
カットわかめ、乾,藻類,10,1,1,0.2,0,0.4,0,93,4,9,5,3,0.1,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0.4,0.2
